,id,song,artist,genre,tonality,capo,chords,roman numerals,mode
135,90873,Numb,Linkin Park,Alternative,F#m,2,"Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,C,D,Em,G,C,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,C,D,Em,G,C,D,Em,G,D,Em,C,G,D,Em,C,G,D,C,D,Em,D/F#,G,Bm7,C,D,B,Bsus4,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D","bviim,bv,bii,bvi,bviim,bv,bii,bvi,bviim,bv,bii,bvi,bviim,bv,bii,bvi,bv,bvi,bviim,bii,bv,bvi,bviim,bv,bii,bvi,bviim,bv,bii,bvi,bviim,bv,bii,bvi,bviim,bv,bii,bvi,bv,bvi,bviim,bii,bv,bvi,bviim,bii,bvi,bviim,bv,bii,bvi,bviim,bv,bii,bvi,bv,bvi,bviim,bvi,bii,ivm7,bv,bvi,iv,ivsus4,bviim,bv,bii,bvi,bviim,bv,bii,bvi,bviim,bv,bii,bvi,bviim,bv,bii,bvi,bviim,bv,bii,bvi",Minor
136,91487,Stairway To Heaven,Led Zeppelin,Rock,Am,0,"Am,Ammaj9,Am7,D/F#,Fmaj7,G,Am,Am,Ammaj9,Am7,D/F#,Fmaj7,G,Am,C,D,Fmaj7,Am,C,G,D,C,D,Fmaj7,Am,C,D,D,Fmaj7,Am,Ammaj9,Am7,D/F#,Fmaj7,G,Am,Am,Ammaj9,Am7,D/F#,Fmaj7,G,Am,C,D/F#,C,G,D,C,D,Fmaj7,Am,C,D,Fmaj7,Am,Ammaj9,Am,D/F#,Fmaj7,G,Am,Am,Ammaj9,Am7,D/F#,Fmaj7,G,Am,Am7,D,Am7,D,D,Am7,D,Am7,D,D,C,G,Am,C,G,Fmaj7,Am,C,G,Am,C,G,Fmaj7,Am,C,G,Am7,D,Am7,D,D,Am7,D,Am7,D,D,C,G,Am,C,G,Fmaj7,Am,C,Am7,Am,C,G,Fmaj7,Am,C,G,Am7,D,Am7,D,D,Am7,D,Am7,D,D,Am,Fmaj7,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F,Am,G,F","im,immaj9,im7,iv,bvimaj7,bvii,im,im,immaj9,im7,iv,bvimaj7,bvii,im,iii,iv,bvimaj7,im,iii,bvii,iv,iii,iv,bvimaj7,im,iii,iv,iv,bvimaj7,im,immaj9,im7,iv,bvimaj7,bvii,im,im,immaj9,im7,iv,bvimaj7,bvii,im,iii,iv,iii,bvii,iv,iii,iv,bvimaj7,im,iii,iv,bvimaj7,im,immaj9,im,iv,bvimaj7,bvii,im,im,immaj9,im7,iv,bvimaj7,bvii,im,im7,iv,im7,iv,iv,im7,iv,im7,iv,iv,iii,bvii,im,iii,bvii,bvimaj7,im,iii,bvii,im,iii,bvii,bvimaj7,im,iii,bvii,im7,iv,im7,iv,iv,im7,iv,im7,iv,iv,iii,bvii,im,iii,bvii,bvimaj7,im,iii,im7,im,iii,bvii,bvimaj7,im,iii,bvii,im7,iv,im7,iv,iv,im7,iv,im7,iv,iv,im,bvimaj7,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi",Minor
137,92855,Dont Dream Its Over,Crowded House,,Eb,3,"Csus2,C7(sus2),C7sus4,Csus2,C7(sus2),C7sus4,Csus2,Asus2,F,E,A5,A5,Csus2,Asus2,F,E,E,F,G,C,Am,F,G,C,Am,F,G,C,Am,F,F,G,Csus2,Asus2,F,E,Csus2,Asus2,F,E,F,G,C,Am,F,G,C,Am,F,G,C,Am,F,Csus2,Asus2,F,E,Csus2,Asus2,F,E,F,C,F,C,F,C,Bb,Bb,Csus2,Asus2,F,E,Csus2,Asus2,F,E,Dm,G,C,Am,F,G,C,Am,F,G,C,Am,F,F,G,C,Am","visus2,vi7sus2,vi7sus4,visus2,vi7sus2,vi7sus4,visus2,#ivsus2,ii,#i,#iv5,#iv5,visus2,#ivsus2,ii,#i,#i,ii,iii,vi,#ivm,ii,iii,vi,#ivm,ii,iii,vi,#ivm,ii,ii,iii,visus2,#ivsus2,ii,#i,visus2,#ivsus2,ii,#i,ii,iii,vi,#ivm,ii,iii,vi,#ivm,ii,iii,vi,#ivm,ii,visus2,#ivsus2,ii,#i,visus2,#ivsus2,ii,#i,ii,vi,ii,vi,ii,vi,v,v,visus2,#ivsus2,ii,#i,visus2,#ivsus2,ii,#i,viim,iii,vi,#ivm,ii,iii,vi,#ivm,ii,iii,vi,#ivm,ii,ii,iii,vi,#ivm",Major
138,93614,Ang Huling El Bimbo,Eraserheads,,G,0,"G,A7,C,G,A7,C,G,G,A7,C,G,G,A7,C,G,G,A7,C,G,Em,G,C,D,Em,G,C,D,G,A7,C,G,G,A7,C,G,A7,C,G,G,A7,C,G,G,A7,C,G,G,A7,C,G,Em,G,C,D,Em,G,C,D,G,A7,C,G,G,A7,C,G,G,A7,C,G,A7,C,G,G,A7,C,G,G,A7,C,G,G,A7,C,G,Em,G,C,D,Em,G,C,D,G,A7,C,G,G,A7,C,G,G,A7,C,G,G,A7,C,G,G,A7,C,G","i,ii7,iv,i,ii7,iv,i,i,ii7,iv,i,i,ii7,iv,i,i,ii7,iv,i,vim,i,iv,v,vim,i,iv,v,i,ii7,iv,i,i,ii7,iv,i,ii7,iv,i,i,ii7,iv,i,i,ii7,iv,i,i,ii7,iv,i,vim,i,iv,v,vim,i,iv,v,i,ii7,iv,i,i,ii7,iv,i,i,ii7,iv,i,ii7,iv,i,i,ii7,iv,i,i,ii7,iv,i,i,ii7,iv,i,vim,i,iv,v,vim,i,iv,v,i,ii7,iv,i,i,ii7,iv,i,i,ii7,iv,i,i,ii7,iv,i,i,ii7,iv,i",Major
139,97039,Mad World,Gary Jules,,Fm,1,"Em,A,Em,A,Em,G,D,A,Em,G,D,A,Em,G,D,A,Em,G,D,A,Em,A,Em,A,Em,A,Em,A,Em,A,Em,A,Em,G,D,A,Em,G,D,A,Em,G,D,A,Em,G,D,A,Em,A,Em,A,Em,A,Em,A,Em,A,Em,A,Em,A,Em,A","viim,#iii,viim,#iii,viim,ii,vi,#iii,viim,ii,vi,#iii,viim,ii,vi,#iii,viim,ii,vi,#iii,viim,#iii,viim,#iii,viim,#iii,viim,#iii,viim,#iii,viim,#iii,viim,ii,vi,#iii,viim,ii,vi,#iii,viim,ii,vi,#iii,viim,ii,vi,#iii,viim,#iii,viim,#iii,viim,#iii,viim,#iii,viim,#iii,viim,#iii,viim,#iii,viim,#iii",Minor
140,97663,Hallelujah,Leonard Cohen,Folk-Rock,C,0,"C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E,Am,F,Am,F,C,G,C,G,C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E,Am,F,Am,F,C,G,C,G,C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E,Am,F,Am,F,C,G,C,G,C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E,Am,F,Am,F,C,G,C,G,C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E,Am,F,Am,F,C,G,C,G,C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E,Am,F,Am,F,C,G,C,G,C,Am,C,Am,F,G,C,G,C,F,G,Am,F,G,E,Am,F,Am,F,C,G,F,Am,F,C,G,F,Am,F,C,G,F,Am,F,C,G,C","i,vim,i,vim,iv,v,i,v,i,iv,v,vim,iv,v,iii,vim,iv,vim,iv,i,v,i,v,i,vim,i,vim,iv,v,i,v,i,iv,v,vim,iv,v,iii,vim,iv,vim,iv,i,v,i,v,i,vim,i,vim,iv,v,i,v,i,iv,v,vim,iv,v,iii,vim,iv,vim,iv,i,v,i,v,i,vim,i,vim,iv,v,i,v,i,iv,v,vim,iv,v,iii,vim,iv,vim,iv,i,v,i,v,i,vim,i,vim,iv,v,i,v,i,iv,v,vim,iv,v,iii,vim,iv,vim,iv,i,v,i,v,i,vim,i,vim,iv,v,i,v,i,iv,v,vim,iv,v,iii,vim,iv,vim,iv,i,v,i,v,i,vim,i,vim,iv,v,i,v,i,iv,v,vim,iv,v,iii,vim,iv,vim,iv,i,v,iv,vim,iv,i,v,iv,vim,iv,i,v,iv,vim,iv,i,v,i",Major
141,98890,Your Song,Parokya ni Edgar,Misc,B,2,"A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,E,F#m,D,A,D,E,A,E,D,F#m,E,A,E,D,F#m,E,A,E,F#m,D,A,E,F#m,D,A,D,E,F#m,E,D,F#m,E,D,A,E,D,F#m,E,A,E,D,F#m,E,A,E,D,F#m,E,A,E,D,F#m,E,A,E,F#m,D,A","bvii,iv,vm,biii,bvii,iv,vm,biii,bvii,iv,vm,biii,bvii,iv,vm,biii,bvii,iv,vm,biii,bvii,biii,iv,bvii,iv,biii,vm,iv,bvii,iv,biii,vm,iv,bvii,iv,vm,biii,bvii,iv,vm,biii,bvii,biii,iv,vm,iv,biii,vm,iv,biii,bvii,iv,biii,vm,iv,bvii,iv,biii,vm,iv,bvii,iv,biii,vm,iv,bvii,iv,biii,vm,iv,bvii,iv,vm,biii,bvii",Major
142,100919,I Want To Break Free,Queen,Rock,E,0,"F#sus4,F#,A,B,C#m,B,A,B,C#m,B,A,B,E5,E,A,E,B,A,E,E,A,E,B,A,E,A,E,A,E,B,A,B,A,C#m,F#sus4,F#,A,B,C#m,B,A,B,C#m,B,A,B,E,E,E,A,E,B,A,E,E,E,A,E,B,A,E,E,B,A,E,E,A,E,B,A,E,B,A,E,E,E,E","iisus4,ii,iv,v,vim,v,iv,v,vim,v,iv,v,i5,i,iv,i,v,iv,i,i,iv,i,v,iv,i,iv,i,iv,i,v,iv,v,iv,vim,iisus4,ii,iv,v,vim,v,iv,v,vim,v,iv,v,i,i,i,iv,i,v,iv,i,i,i,iv,i,v,iv,i,i,v,iv,i,i,iv,i,v,iv,i,v,iv,i,i,i,i",Major
143,101457,Friday Im In Love,The Cure,College Rock,D,0,"D,G,D,A,Bm,G,D,A,D,G,D,A,Bm,G,D,A,G,A,Bm,G,D,A,D,G,D,A,Bm,G,D,A,D,G,D,A,Bm,G,D,A,D,G,D,A,Bm,G,D,A,G,A,Bm,G,D,A,Bm,C,D,A,Bm,C,D,A,Bm,C,D,A,Bm,C,D,A,D,G,D,A,Bm,G,D,A,D,G,D,A,Bm,G,D,A,D,G,D,A,Bm,G,D,A","i,iv,i,v,vim,iv,i,v,i,iv,i,v,vim,iv,i,v,iv,v,vim,iv,i,v,i,iv,i,v,vim,iv,i,v,i,iv,i,v,vim,iv,i,v,i,iv,i,v,vim,iv,i,v,iv,v,vim,iv,i,v,vim,bvii,i,v,vim,bvii,i,v,vim,bvii,i,v,vim,bvii,i,v,i,iv,i,v,vim,iv,i,v,i,iv,i,v,vim,iv,i,v,i,iv,i,v,vim,iv,i,v",Major
144,102896,Wind Of Change,Scorpions,Rock,C,0,"F,Dm,F,Dm,Am,Dm,Am,G,C,C,Dm,C,Dm,Am,G,C,C,Dm,C,Dm,Am,G,F,Dm,F,Dm,Am,Dm,Am,G,C,C,Dm,C,Dm,Am,G,C,C,Dm,C,Dm,Am,G,C,G,Dm,G,C,G,Dm,G,Am,F,G,C,C,Dm,C,Dm,Am,G,C,C,Dm,C,Dm,Am,G,C,G,Dm,G,C,G,Dm,G,Am,F,G,C,G,Dm,G,C,G,Dm,G,Am,F,G,Am,G,Am,G,C,Dm,E,F,G,E,Am,F,G,Am,F,G,E,Am,Dm,E,C,G,Dm,G,C,G,Dm,G,Am,F,G,C,G,Dm,G,C,G,Dm,G,Am,F,G,F,Dm,F,Dm,Am,Dm,Dm,Am,G,Dm,Am,G","iv,iim,iv,iim,vim,iim,vim,v,i,i,iim,i,iim,vim,v,i,i,iim,i,iim,vim,v,iv,iim,iv,iim,vim,iim,vim,v,i,i,iim,i,iim,vim,v,i,i,iim,i,iim,vim,v,i,v,iim,v,i,v,iim,v,vim,iv,v,i,i,iim,i,iim,vim,v,i,i,iim,i,iim,vim,v,i,v,iim,v,i,v,iim,v,vim,iv,v,i,v,iim,v,i,v,iim,v,vim,iv,v,vim,v,vim,v,i,iim,iii,iv,v,iii,vim,iv,v,vim,iv,v,iii,vim,iim,iii,i,v,iim,v,i,v,iim,v,vim,iv,v,i,v,iim,v,i,v,iim,v,vim,iv,v,iv,iim,iv,iim,vim,iim,iim,vim,v,iim,vim,v",Major
