,id,song,artist,genre,tonality,capo,chords,roman numerals,mode
0,835,With Or Without You,U2,Rock,D,0,"D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,D,D,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G","i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,i,i,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv,i,v,vim,iv",Major
1,1345,Youre Still The One,Shania Twain,Country,Eb,1,"D,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A","vii,vii,iii,#iv,vii,iii,#iv,vii,iii,#iv,vii,iii,#iv,vii,iii,#iv,vii,iii,#iv,vii,iii,#im,#iv,vii,iii,#iv,vii,iii,#im,#iv,vii,iii,#iv,vii,iii,#iv,vii,iii,#iv,vii,iii,#iv,vii,iii,#iv,vii,iii,#iv,vii,iii,#im,#iv,vii,iii,#iv,vii,iii,#im,#iv,vii,iii,#iv,vii,iii,#iv,vii,iii,#im,#iv,vii,iii,#iv,vii,iii,#im,#iv,vii,iii,#iv,vii,iii,#iv",Major
2,1433,Drops Of Jupiter,Train,Pop/Rock,C,0,"C,G,F,F,C,G,F,C,G,F,C,G,F,G,D,F,C,G,D,Dm,F,C,G,F,F,C,G,F,C,G,F,C,G,F,G,D,F,C,G,D,Dm,F,C,G,F,F,C,G,F,C,G,Bb,F,G,D,F,C,G,D,F,C,G,D,Dm,F,C,G,F,C,G,F,C,G,Bb,F","i,v,iv,iv,i,v,iv,i,v,iv,i,v,iv,v,ii,iv,i,v,ii,iim,iv,i,v,iv,iv,i,v,iv,i,v,iv,i,v,iv,v,ii,iv,i,v,ii,iim,iv,i,v,iv,iv,i,v,iv,i,v,bvii,iv,v,ii,iv,i,v,ii,iv,i,v,ii,iim,iv,i,v,iv,i,v,iv,i,v,bvii,iv",Major
3,2704,Kiss Me,Sixpence None the Richer,,Eb,3,"C,Cmaj7,C7,Dm,G,Am,Gsus4,Fmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,F,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,F,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C","vi,vimaj7,vi7,viim,iii,#ivm,iiisus4,iimaj7,vi,vimaj7,vi7,vimaj7,vi,vimaj7,vi7,vimaj7,vi,vimaj7,vi7,ii,viim,iii,vi,#ivm,viim,iii,vi,vi7,viim,iii,vi,#ivm,iimaj7,iiisus4,iii,vi,vimaj7,vi7,vimaj7,vi,vimaj7,vi7,vimaj7,vi,vimaj7,vi7,ii,viim,iii,vi,#ivm,viim,iii,vi,vi7,viim,iii,vi,#ivm,iimaj7,iiisus4,iii,vi,vimaj7,vi7,vimaj7,viim,iii,vi,#ivm,viim,iii,vi,vi7,viim,iii,vi,#ivm,viim,iii,vi,vi7,viim,iii,vi,#ivm,iimaj7,iiisus4,iii,vi,vimaj7,vi7,vimaj7,vi,vimaj7,vi7,vimaj7,vi,vimaj7,vi7,vimaj7,vi,vimaj7,vi7,vimaj7,vi",Major
4,2707,Kiss Me,Sixpence None the Richer,,D,1,"D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,G,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,G,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,Em,A,D,Bm,Em,A,D,D7,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D","i,imaj7,i7,imaj7,i,imaj7,i7,imaj7,i,imaj7,i7,imaj7,i,imaj7,i7,iv,iim,v,i,vim,iim,v,i,i7,iim,v,i,i,vim7,ivmaj7,vsus4,v,i,imaj7,i7,imaj7,i,imaj7,i7,imaj7,i,imaj7,i7,iv,iim,v,i,vim,iim,v,i,i7,iim,v,i,i,vim7,ivmaj7,vsus4,v,i,imaj7,i7,imaj7,iim,v,i,vim,iim,v,i,i7,iim,v,i,vim,iim,v,i,i7,iim,v,i,i,vim7,ivmaj7,vsus4,v,i,imaj7,i7,imaj7,i,imaj7,i7,imaj7,i,imaj7,i7,imaj7,i,imaj7,i7,imaj7,i",Major
5,3391,Grow Old With You,Adam Sandler,Rock,A,0,"A,Bm,C#m,D,A,E,D,A,E,A,Bm,C#m,D,A,E,D,A,A7,D,A,D,E,E,D,A,Bm,C#m,D,A,E,D,A,E,D,A","i,iim,iiim,iv,i,v,iv,i,v,i,iim,iiim,iv,i,v,iv,i,i7,iv,i,iv,v,v,iv,i,iim,iiim,iv,i,v,iv,i,v,iv,i",Major
6,4017,Wild Horses,The Rolling Stones,Rock,C,0,"G,Am7,G,Am7,G,Bm,G,Bm,G,Am7,C,D,G,D,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C,Bm,G,Bm,G,Am7,C,D,G,D,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C,C,C,D,G,Bm,G,Bm,G,Am7,C,D,G,D,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C","v,vim7,v,vim7,v,viim,v,viim,v,vim7,i,ii,v,ii,i,viim,v,viim,v,vim7,i,ii,v,ii,vim7,i,ii,v,iv,i,viim,vim7,i,ii,v,iv,i,viim,v,viim,v,vim7,i,ii,v,ii,i,viim,v,viim,v,vim7,i,ii,v,ii,vim7,i,ii,v,iv,i,viim,vim7,i,ii,v,iv,i,i,i,ii,v,viim,v,viim,v,vim7,i,ii,v,ii,i,viim,v,viim,v,vim7,i,ii,v,ii,vim7,i,ii,v,iv,i,viim,vim7,i,ii,v,iv,i,viim,v,viim,v,vim7,i,ii,v,ii,vim7,i,ii,v,iv,i,viim,vim7,i,ii,v,iv,i",Major
7,4019,You Cant Always Get What You Want,The Rolling Stones,Rock,G,0,"G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,D,C,D,C,C,G,Gadd9,G,C,G,Gadd9,G,G,Gadd9,G,D,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C","i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,ii,iv,i,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,ii,iv,i,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,ii,iv,i,i,iadd9,i,iv,v,iv,v,iv,iv,i,iadd9,i,iv,i,iadd9,i,i,iadd9,i,v,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,ii,iv,i,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,ii,iv,i,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,i,iadd9,i,iv,ii,iv,i,i,iadd9,i,iv",Major
8,4149,Fake Plastic Trees,Radiohead,Rock,A,0,"A,F#m7,E,E6,D5,A,D5,A,F#m7,E,E6,D5,A,D5,Bm7,A,Asus,Bm7,A,Asus,A,F#m7,E,E6,D5,A,D5,A,F#m7,E,E6,D5,A,D5,Bm7,A,Asus,Bm7,A,Asus,A,F#m7,E,E6,D5,A,D5,A,F#m7,E,E6,D5,A,D5,Bm7,A,Asus,Bm7,A,Asus,Bm7,A,Bm7,A,Bm7,Asus,A,Bm7,Asus,A","i,vim7,v,v6,iv5,i,iv5,i,vim7,v,v6,iv5,i,iv5,iim7,i,isus,iim7,i,isus,i,vim7,v,v6,iv5,i,iv5,i,vim7,v,v6,iv5,i,iv5,iim7,i,isus,iim7,i,isus,i,vim7,v,v6,iv5,i,iv5,i,vim7,v,v6,iv5,i,iv5,iim7,i,isus,iim7,i,isus,iim7,i,iim7,i,iim7,isus,i,iim7,isus,i",Major
9,4169,Creep,Radiohead,Rock,G,0,"G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G","i,iii,iv,ivm,i,iii,iv,ivm,i,iii,iv,ivm,i,iii,iv,ivm,i,iii,iv,ivm,i,iii,iv,ivm,i,iii,iv,ivm,i,iii,iv,ivm,i,iii,iv,ivm,i,iii,iv,ivm,i,iii,iv,ivm,i",Major
10,5655,Free Fallin,Tom Petty,,F,8,"A,D,D,A,E,A,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,Asus4,A,E,A,Asus4,Asus4,A,E,A,Asus4,A,E,A,Asus4,Asus4,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,D,A","iii,vi,vi,iii,vii,iii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,iiisus4,iii,vii,iii,iiisus4,iiisus4,iii,vii,iii,iiisus4,iii,vii,iii,iiisus4,iiisus4,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,iii,vi,vi,iii,vii,vi,iii",Major
11,6091,Champagne Supernova,Oasis,Alternative,A,0,"Asus2,Asus2/F#,A,G,D/F#,E,G,A,D,F,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,A,G,D/F#,E,A,G,D/F#,E,G,A,G,D,E,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,A,G,D/F#,E,A,G,D/F#,E,G,A,G,D,E,A,G,D/F#,F,G,A,G,D/F#,F,G,A,G,D/F#,F,G,F,G,F,G,Asus2,Asus2/F#,Asus2,Asus2/F#,E,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,F,G,Asus2","isus2,isus2,i,bvii,iv,v,bvii,i,iv,bvi,isus2,isus2,isus2,isus2,isus2,isus2,isus2,isus2,isus2,isus2,isus2,isus2,isus2,isus2,isus2,isus2,i,bvii,iv,v,i,bvii,iv,v,bvii,i,bvii,iv,v,isus2,isus2,isus2,isus2,isus2,isus2,isus2,isus2,i,bvii,iv,v,i,bvii,iv,v,bvii,i,bvii,iv,v,i,bvii,iv,bvi,bvii,i,bvii,iv,bvi,bvii,i,bvii,iv,bvi,bvii,bvi,bvii,bvi,bvii,isus2,isus2,isus2,isus2,v,isus2,isus2,isus2,isus2,isus2,isus2,bvi,bvii,isus2",Major
12,6097,Dont Look Back In Anger,Oasis,Alternative,C,0,"C,F,C,F,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,F,F,Fm,C,F,Fm,C,F,Fm,C,G,E7/G#,Am,G,F,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,F,Fm,C,F,Fm,C,F,Fm,C,G,E7/G#,Am,G,F,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,F,Fm,C,G,E7/G#,Am,G,F,G,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,F,Fm,C,G,Am,E7,F,Fm,C","i,iv,i,iv,i,v,vim,iii7,iv,v,i,vim,v,i,v,vim,iii7,iv,v,i,vim,v,iv,iv,ivm,i,iv,ivm,i,iv,ivm,i,v,iii7,vim,v,iv,v,i,v,vim,iii7,iv,v,i,vim,v,i,v,vim,iii7,iv,v,i,v,vim,iii7,iv,v,i,vim,v,i,v,vim,iii7,iv,v,i,vim,v,i,v,vim,iii7,iv,v,i,vim,v,iv,ivm,i,iv,ivm,i,iv,ivm,i,v,iii7,vim,v,iv,v,i,v,vim,iii7,iv,v,i,vim,v,i,v,vim,iii7,iv,v,i,vim,v,iv,ivm,i,v,iii7,vim,v,iv,v,v,i,v,vim,iii7,iv,v,i,vim,v,i,v,vim,iii7,iv,v,i,vim,v,i,v,vim,iii7,iv,v,i,vim,v,i,v,vim,iv,ivm,i,v,vim,iii7,iv,ivm,i",Major
13,6125,Wonderwall,Oasis,Alternative,F#m,0,"F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,F#m,D,Esus4,F#m,D,Esus4,F#m7,Esus4,A,Esus4,B7sus4,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,A,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,F#m,D,Esus4,F#m,D,Esus4,F#m7,Esus4,A,Esus4,B7sus4,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7","im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,bvi,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,bvi,bviisus4,im,bvi,bviisus4,im,bvi,bviisus4,im7,bviisus4,iii,bviisus4,iv7sus4,bvi,im7,iii,im7,bvi,im7,iii,im7,bvi,im7,iii,im7,bvi,im7,iii,im7,iii,im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,im7,iii,bviisus4,iv7sus4,bvi,bviisus4,im,bvi,bviisus4,im,bvi,bviisus4,im7,bviisus4,iii,bviisus4,iv7sus4,bvi,im7,iii,im7,bvi,im7,iii,im7,bvi,im7,iii,im7,bvi,im7,iii,im,bvi,im7,iii,im7,bvi,im7,iii,im7,bvi,im7,iii,im7,bvi,im7,iii,im,bvi,im7,iii,im7,bvi,im7,iii,im7,bvi,im7,iii,im7,bvi,im7,iii,im,bvi,im7,iii,im7,bvi,im7,iii,im7,bvi,im7,iii,im7,bvi,im7,iii,im7",Minor
14,8802,Nothing Else Matters,Metallica,Metal,Em,0,"Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,C,A,D,C,A,D,C,A,D,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,C,A,D,C,A,D,C,A,D,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,C,A,D,C,A,D,C,A,D,C,A,D,C,A,D,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em","im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,iii,v7,im,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,iii,v7,im,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,iii,v7,im,bvi,iv,bvii,bvi,iv,bvii,bvi,iv,bvii,im,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,iii,v7,im,bvi,iv,bvii,bvi,iv,bvii,bvi,iv,bvii,im,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,iii,v7,im,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,iii,v7,im,bvi,iv,bvii,bvi,iv,bvii,bvi,iv,bvii,bvi,iv,bvii,bvi,iv,bvii,im,im,bvii,bvi,im,bvii,bvi,im,bvii,bvi,iii,v7,im,im",Minor
15,9306,Imagine,John Lennon,Rock,C,0,"C,Cmaj7,F,Cadd9,F,Cadd9,Cmaj7,F,Cadd9,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C","i,imaj7,iv,iadd9,iv,iadd9,imaj7,iv,iadd9,iv,i,imaj7,iv,i,imaj7,iv,i,imaj7,iv,i,imaj7,iv,i,imaj7,iv,i,imaj7,iv,iv,iim7,v,v7,i,imaj7,iv,i,imaj7,iv,i,imaj7,iv,i,imaj7,iv,iv,iim7,v,v7,iv,v,i,imaj7,iii,iii7,iv,v,i,imaj7,iii,iii7,iv,v,i,imaj7,iii,iii7,iv,v,i,i,imaj7,iv,i,imaj7,iv,i,imaj7,iv,i,imaj7,iv,iv,iim7,v,v7,iv,v,i,imaj7,iii,iii7,iv,v,i,imaj7,iii,iii7,iv,v,i,imaj7,iii,iii7,iv,v,i",Major
16,9324,Jealous Guy,John Lennon,Rock,G,0,"G,Em,D,D7,Em,G,Em,D,D6,D7,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,G,Em,D,D6,D7,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,G,Em,D,D6,D7,Em,Em6,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,G,Em,D,D6,D7,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,C,G,C,G","i,vim,v,v7,vim,i,vim,v,v6,v7,v7,vim,vim7,vim6,v,vsus4,v,vim,vim7,iv,i,iv,vsus4,i,biii,i,i,vim,iv,i,i,vim,v,v6,v7,v7,vim,vim7,vim6,v,vsus4,v,vim,vim7,iv,i,iv,vsus4,i,biii,i,i,vim,iv,i,i,vim,v,v6,v7,vim,vim6,v,vim,vim7,iv,i,iv,vsus4,i,biii,i,i,vim,iv,i,i,vim,v,v6,v7,v7,vim,vim7,vim6,v,vsus4,v,vim,vim7,iv,i,iv,vsus4,i,biii,i,i,vim,iv,i,iv,i,iv,i",Major
17,9344,Working Class Hero,John Lennon,Rock,Am,0,"Am,Am,Am,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,D,Am","im,im,im,im,im,bvii,im,im,bvii,im,im,bvii,im,im,bvii,im,im,bvii,iv,im,im,bvii,im,im,bvii,im,im,bvii,im,im,bvii,im,im,bvii,iv,im,im,bvii,im,im,bvii,im,im,bvii,im,im,bvii,im,im,bvii,iv,im,im,bvii,im,im,bvii,im,im,bvii,im,im,bvii,im,im,bvii,iv,im,im,bvii,im,im,bvii,im,im,bvii,im,im,bvii,im,im,bvii,iv,im,im,bvii,im,im,bvii,iv,im",Minor
18,10266,When You Say Nothing At All,Ronan Keating,,G,0,"G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,G,D,C,D,Dsus4,D,Dsus4,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,Em,Bm,C,D,G,D,C,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G,E,B,A,B,E,B,A,B,E,B,A,B,A,B,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G","i,v,iv,v,i,v,iv,v,i,v,iv,v,i,v,iv,v,i,v,iv,v,i,v,iv,v,iv,v,i,v,iv,v,vsus4,v,vsus4,v,i,v,iv,v,i,v,iv,v,i,v,iv,v,iv,v,iv,v,i,i,v,iv,v,i,v,iv,v,i,v,iv,v,i,v,iv,v,vim,iiim,iv,v,i,v,iv,v,iv,v,i,v,iv,v,i,v,iv,v,i,v,iv,v,i,v,iv,v,iv,v,iv,v,i,vi,iii,ii,iii,vi,iii,ii,iii,vi,iii,ii,iii,ii,iii,i,v,iv,v,i,v,iv,v,i,v,iv,v,iv,v,iv,v,i",Major
19,10744,Rocket Man,Elton John,Pop/Rock,Gm,3,"Em7,A9,Em7,A9,C,Am,D/F#,D,Em7,A9,Em7,A9,C,Am,D/F#,D,C,G,C,G,C,A9,C,G,C,G,C,G,C,A9,C,G,C,Em7,A9,Em7,A9,C,Am,D/F#,D,Em7,A,Em7,A,C,G,Am,D/F#,D,G,C,G,C,A9,C,G,C,G,C,G,C,A9,C,G,C,G,C,G","vim7,ii9,vim7,ii9,iv,iim,v,v,vim7,ii9,vim7,ii9,iv,iim,v,v,iv,i,iv,i,iv,ii9,iv,i,iv,i,iv,i,iv,ii9,iv,i,iv,vim7,ii9,vim7,ii9,iv,iim,v,v,vim7,ii,vim7,ii,iv,i,iim,v,v,i,iv,i,iv,ii9,iv,i,iv,i,iv,i,iv,ii9,iv,i,iv,i,iv,i",Minor
