,id,song,artist,genre,tonality,capo,chords
10,5655,Free Fallin,Tom Petty,,F,8,"A,D,D,A,E,A,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,Asus4,A,E,A,Asus4,Asus4,A,E,A,Asus4,A,E,A,Asus4,Asus4,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,D,A"
11,6091,Champagne Supernova,Oasis,Alternative,A,0,"Asus2,Asus2/F#,A,G,D/F#,E,G,A,D,F,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,A,G,D/F#,E,A,G,D/F#,E,G,A,G,D,E,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,A,G,D/F#,E,A,G,D/F#,E,G,A,G,D,E,A,G,D/F#,F,G,A,G,D/F#,F,G,A,G,D/F#,F,G,F,G,F,G,Asus2,Asus2/F#,Asus2,Asus2/F#,E,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,F,G,Asus2"
12,6097,Dont Look Back In Anger,Oasis,Alternative,C,0,"C,F,C,F,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,F,F,Fm,C,F,Fm,C,F,Fm,C,G,E7/G#,Am,G,F,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,F,Fm,C,F,Fm,C,F,Fm,C,G,E7/G#,Am,G,F,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,F,Fm,C,G,E7/G#,Am,G,F,G,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,F,Fm,C,G,Am,E7,F,Fm,C"
13,6125,Wonderwall,Oasis,Alternative,F#m,0,"F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,F#m,D,Esus4,F#m,D,Esus4,F#m7,Esus4,A,Esus4,B7sus4,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,A,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,F#m,D,Esus4,F#m,D,Esus4,F#m7,Esus4,A,Esus4,B7sus4,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7"
14,8802,Nothing Else Matters,Metallica,Metal,Em,0,"Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,C,A,D,C,A,D,C,A,D,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,C,A,D,C,A,D,C,A,D,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,C,A,D,C,A,D,C,A,D,C,A,D,C,A,D,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em"
15,9306,Imagine,John Lennon,Rock,C,0,"C,Cmaj7,F,Cadd9,F,Cadd9,Cmaj7,F,Cadd9,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C"
16,9324,Jealous Guy,John Lennon,Rock,G,0,"G,Em,D,D7,Em,G,Em,D,D6,D7,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,G,Em,D,D6,D7,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,G,Em,D,D6,D7,Em,Em6,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,G,Em,D,D6,D7,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,C,G,C,G"
17,9344,Working Class Hero,John Lennon,Rock,Am,0,"Am,Am,Am,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,D,Am"
18,10266,When You Say Nothing At All,Ronan Keating,,G,0,"G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,G,D,C,D,Dsus4,D,Dsus4,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,Em,Bm,C,D,G,D,C,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G,E,B,A,B,E,B,A,B,E,B,A,B,A,B,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G"
19,10744,Rocket Man,Elton John,Pop/Rock,Gm,3,"Em7,A9,Em7,A9,C,Am,D/F#,D,Em7,A9,Em7,A9,C,Am,D/F#,D,C,G,C,G,C,A9,C,G,C,G,C,G,C,A9,C,G,C,Em7,A9,Em7,A9,C,Am,D/F#,D,Em7,A,Em7,A,C,G,Am,D/F#,D,G,C,G,C,A9,C,G,C,G,C,G,C,A9,C,G,C,G,C,G"
